datetime,cpuUsage,memUsage
2023-12-06 15:32:52,0.7,2987
2023-12-06 15:32:53,0.7,2999
2023-12-06 15:32:54,0.7,3007
2023-12-06 15:32:55,1.4,3007
2023-12-06 15:32:56,0.7,2993
